c_To	c_From
1	2
1	4
1	3
2	3
4	5
5	3
4	6
6	7
8	7
8	6
8	5
3	9
8	10
9	10
3	60
2	35
35	60
35	36
60	61
36	61
60	34
9	34
10	33
34	33
61	57
34	57
36	62
62	37
37	64
64	63
63	62
57	37
36	57
37	38
38	39
57	39
64	65
65	38
65	66
66	39
39	40
40	46
66	46
46	45
45	44
44	31
31	32
32	43
32	45
43	40
43	45
43	41
41	34
41	42
42	33
42	70
70	43
70	32
70	58
58	11
11	12
12	7
10	11
12	13
13	69
6	13
69	16
69	14
16	15
15	14
16	17
58	17
17	18
18	32
18	59
14	20
15	18
18	19
19	20
19	23
59	23
31	30
59	29
29	30
59	31
23	24
29	24
20	21
21	22
22	67
67	68
68	25
22	23
25	22
25	24
68	26
24	26
24	28
26	27
28	27
30	28
30	50
30	51
51	28
50	49
49	51
44	50
51	52
52	27
53	52
56	53
56	49
48	49
46	47
47	48
44	48
48	55
55	54
56	54
53	54
