po_No	po_X	po_Y
1	72	52
2	68	126
3	177	169
4	142	48
5	186	76
6	284	38
7	306	90
8	262	100
9	216	217
10	277	225
11	383	176
12	383	123
13	413	58
14	592	49
15	540	90
16	494	127
17	497	186
18	560	203
19	692	130
20	693	90
21	767	52
22	813	73
23	710	197
24	843	231
25	858	131
26	915	215
27	909	365
28	848	329
29	740	257
30	721	332
31	631	371
32	522	346
33	302	313
34	241	354
35	75	295
36	82	393
37	154	541
38	210	543
39	336	528
40	379	476
41	387	413
42	381	323
43	432	428
44	613	433
45	544	523
46	519	571
47	618	608
48	666	586
49	744	485
50	704	447
51	825	388
52	906	433
53	873	490
54	893	589
55	714	614
56	820	511
57	238	436
58	432	222
59	662	232
60	128	278
61	117	351
62	106	515
63	57	567
64	85	616
65	246	600
66	361	577
67	861	47
68	913	87
69	469	35
70	457	330
